sampleID,tubeID,species,depthFt,region,site,latDD,longDD,od,bd,h
11-XII-20-2-005,SFX075,Xestospongia muta,21,Ft. Lauderdale,FTL4,26.1368,-80.0974,2.872,9.597,5.954
11-XII-20-2-006,SFX076,Xestospongia muta,19,Ft. Lauderdale,FTL4,26.1368,-80.0974,6.584,15.72,10.315
11-XII-20-2-007,SFX077,Xestospongia muta,21,Ft. Lauderdale,FTL4,26.1368,-80.0974,10.697,18.683,12.453
11-XII-20-2-008,SFX078,Xestospongia muta,20,Ft. Lauderdale,FTL4,26.1368,-80.0974,36.024,27.77,24.821
11-XII-20-2-009,SFX079,Xestospongia muta,20,Ft. Lauderdale,FTL4,26.1368,-80.0974,11.522,15.927,13.963
11-XII-20-2-010,SFX080,Xestospongia muta,20,Ft. Lauderdale,FTL4,26.1368,-80.0974,34.387,36.5,23.926
11-XII-20-3-001,SFX081,Xestospongia muta,25,Ft. Lauderdale,BC1,26.14786667,-80.09386333,14.365,23.06,22.202
11-XII-20-3-002,SFX082,Xestospongia muta,26,Ft. Lauderdale,BC1,26.14786667,-80.09386333,13.012,15.285,13.608
11-XII-20-3-003,SFX083,Xestospongia muta,23,Ft. Lauderdale,BC1,26.14786667,-80.09386333,11.278,14.789,14.626
11-XII-20-3-004,SFX084,Xestospongia muta,21,Ft. Lauderdale,BC1,26.14786667,-80.09386333,7.038,15.415,11.081
11-XII-20-3-005,SFX085,Xestospongia muta,22,Ft. Lauderdale,BC1,26.14786667,-80.09386333,12.611,14.641,22.047
11-XII-20-3-006,SFX086,Xestospongia muta,23,Ft. Lauderdale,BC1,26.14786667,-80.09386333,14.327,24.659,18.275
11-XII-20-3-007,SFX087,Xestospongia muta,27,Ft. Lauderdale,BC1,26.14786667,-80.09386333,30.87,24.034,28.954
11-XII-20-3-008,SFX088,Xestospongia muta,24,Ft. Lauderdale,BC1,26.14786667,-80.09386333,16.542,18.508,15.519
11-XII-20-3-009,SFX089,Xestospongia muta,24,Ft. Lauderdale,BC1,26.14786667,-80.09386333,29.192,38.425,29.192
11-XII-20-3-010,SFX090,Xestospongia muta,23,Ft. Lauderdale,BC1,26.14786667,-80.09386333,18.324,23.442,13.97
21-I-21-1-001,SFX091,Xestospongia muta,50,Boynton,SEFL-16,26.52355167,-80.03169167,27.906,28.771,31.9
21-I-21-1-002,SFX092,Xestospongia muta,50,Boynton,SEFL-16,26.52355167,-80.03169167,47.53,70.467,65.977
21-I-21-1-003,SFX093,Xestospongia muta,47,Boynton,SEFL-16,26.52355167,-80.03169167,48.013,47.706,60.057
21-I-21-1-004,SFX094,Xestospongia muta,51,Boynton,SEFL-16,26.52355167,-80.03169167,37.375,51.965,35.513
21-I-21-1-005,SFX095,Xestospongia muta,57,Boynton,SEFL-16,26.52355167,-80.03169167,21.132,21.675,18.31
21-I-21-1-006,SFX096,Xestospongia muta,60,Boynton,SEFL-16,26.52355167,-80.03169167,38.835,38.887,22.823
21-I-21-1-007,SFX097,Xestospongia muta,62,Boynton,SEFL-16,26.52355167,-80.03169167,19.237,21.071,20.413
21-I-21-1-008,SFX098,Xestospongia muta,62,Boynton,SEFL-16,26.52355167,-80.03169167,24.899,27.023,37.02
21-I-21-1-009,SFX099,Xestospongia muta,64,Boynton,SEFL-16,26.52355167,-80.03169167,13.347,25.057,17.884
21-I-21-1-010,SFX100,Xestospongia muta,66,Boynton,SEFL-16,26.52355167,-80.03169167,18.176,38.768,34.463
21-I-21-2-001,SFX101,Xestospongia muta,50,Boynton,SEFL-18,26.49359167,-80.037515,56.992,53.671,43.223
21-I-21-2-002,SFX102,Xestospongia muta,53,Boynton,SEFL-18,26.49359167,-80.037515,56.577,46.34,29.955
21-I-21-2-003,SFX103,Xestospongia muta,53,Boynton,SEFL-18,26.49359167,-80.037515,32.856,24.632,37.284
21-I-21-2-004,SFX104,Xestospongia muta,58,Boynton,SEFL-18,26.49359167,-80.037515,26.346,24.281,33.134
21-I-21-2-005,SFX105,Xestospongia muta,59,Boynton,SEFL-18,26.49359167,-80.037515,52.497,45.125,45.566
21-I-21-2-006,SFX106,Xestospongia muta,63,Boynton,SEFL-18,26.49359167,-80.037515,45.69,36.765,46.92
21-I-21-2-007,SFX107,Xestospongia muta,62,Boynton,SEFL-18,26.49359167,-80.037515,33.636,33.039,27.261
21-I-21-2-008,SFX108,Xestospongia muta,59,Boynton,SEFL-18,26.49359167,-80.037515,66.866,63.089,77.377
21-I-21-2-009,SFX109,Xestospongia muta,60,Boynton,SEFL-18,26.49359167,-80.037515,29.866,36.69,40.81
21-I-21-2-010,SFX110,Xestospongia muta,60,Boynton,SEFL-18,26.49359167,-80.037515,22.63,28.489,26.885
21-I-21-3-001,SFX111,Xestospongia muta,53,Boynton,SEFL-20,26.45383,-80.04607,32.716,53.096,68.515
21-I-21-3-002,SFX112,Xestospongia muta,52,Boynton,SEFL-20,26.45383,-80.04607,27.87,43.581,58.29
21-I-21-3-003,SFX113,Xestospongia muta,53,Boynton,SEFL-20,26.45383,-80.04607,26.718,28.655,27.358
21-I-21-3-004,SFX114,Xestospongia muta,54,Boynton,SEFL-20,26.45383,-80.04607,12.36,19.975,21.595
21-I-21-3-005,SFX115,Xestospongia muta,55,Boynton,SEFL-20,26.45383,-80.04607,43.111,42.469,51.368
21-I-21-3-006,SFX116,Xestospongia muta,55,Boynton,SEFL-20,26.45383,-80.04607,14.522,21.175,39.101
21-I-21-3-007,SFX117,Xestospongia muta,57,Boynton,SEFL-20,26.45383,-80.04607,24.273,28,42.699
21-I-21-3-008,SFX118,Xestospongia muta,59,Boynton,SEFL-20,26.45383,-80.04607,43.146,40.749,51.64
21-I-21-3-009,SFX119,Xestospongia muta,60,Boynton,SEFL-20,26.45383,-80.04607,11.547,21.937,28.62
21-I-21-3-010,SFX120,Xestospongia muta,62,Boynton,SEFL-20,26.45383,-80.04607,56.482,51.764,47.884
